"","line","text"
"1",1,"希望联盟执政联邦即将满一年，民政党主席拿督刘华才点评，大马如今的情况是：“油价涨、马币跌、股市泻、外资撤、希盟骗”，而若要我国经济重振，则须撤换财长。"
"2",2,NA
"3",3,NA
"4",4,"财政部长林冠英揭露，此前只有特定人士才能查阅的“红色档案”，除了涉及了一马发展有限公司（1MDB）的不当行为和丑闻外，还有许多不为人知、且对政府造成亏损的不寻常条件合约。"
"5",5,"大马投行认为，政府取消隆新高铁是明智之举，毕竟这项计划的成本大于利益，也预计实际负面影响并不会太显著。"
"6",6,"新加坡总理李显龙今天（5月19日）旋风访马，前往布城会见首相敦马哈迪，双边关系和隆新高铁今后何去何从料将是会谈重点。"
"7",7,"大马土著承包商协会促请希盟政府，保留至少20%的特别固打给土著承包商参与东海岸铁路计划（ECRL）公共工程项目，获得政府正面回应。首相马哈迪今日向土著承包商保证，一定会为土著承包商保留直接谈判工程（negotiated tender..."
"8",8,"敦马哈迪说，这项决定也获得中国理解。"
"9",9,"纳吉今晚在脸书贴文，捍卫前朝政府的隆新高铁课题...."
"10",10,"首相敦马哈迪坦言，基于隆新高铁（HSR）计划已经落实，若希盟政府取消这项计划，就必须支付数目庞大的赔偿金。"
"11",11,NA
"12",12,"柔佛妇女发展及旅游委员会主席廖彩彤表示，关于柔州将取消两项总值超过30亿令吉的大型旅游发展计划一事，一切还未有定案。"
"13",13,"针对首相敦马哈迪宣布取消东海岸铁路计划（ECRL），马华署理总会长拿督斯里魏家祥反问马哈迪，难道第三国产车计划更加重要吗？"
"14",14,NA
"15",15,NA
"16",16,NA
"17",17,NA
"18",18,"新闻报报看 ｜ 敦马透露他目前在为隆新高铁和东海岸铁路工程伤脑筋，因为如果中止隆新高铁计划，我国将给巨额赔偿金。至于东铁方面，工程虽在进行中而不能中止，但敦马却发现东铁合约条款很奇怪……（主播：梁宝仪、...."
"19",19,"针对经济事务部长阿兹敏今日证实东海岸铁路计划已经被取消，而取消的原因则是每年需要偿还5亿令吉的利息，财政部长林冠英说，他对阿兹敏的言论感到惊讶。"
"20",20,"内阁今日议决终止纷扰已久的东海岸铁路计划（ECRL）。"
"21",21,NA
"22",22,"百格晨报|2019年5月27日"
"23",23,"东铁绕过文冬已成定案，行动党文冬区国会议员黄德吁请政府认真看待把东铁省下的一些资金用作废除加叻大道收费站或降低收费，以及提升大道的安全性，使广大文冬和全国人民受惠。"
"24",24,"隆新高铁计划（HSR）峰回路转，首相拿督斯里马哈迪医生今天说，隆新高铁计划不是被取消，而是推迟落实。"
"25",25,"内政部长丹斯里慕尤丁强调，为了避免东海岸铁路（ECRL）课题引发更多的混淆，因此只有相关的部长包括首相和财政部长才能针对课题做出回应。"
"26",26,NA
"27",27,"纳吉在脸书帖文说，东铁计划是由中国进出口银行（Exim Bank of China）提供长达20年的贷款，而目前已经支付给中国交通建设股份有限公司的196亿令吉，也是由该银行直接支付。"
"28",28,"首相敦马哈迪说，基于国债因素，政府决定取消东海岸铁路计划（ECRL），以及沙巴和马六甲的天然气管道计划，而中国政府也理解马来西亚政府的问题，并表示同意。"
"29",29,NA
"30",30,"前任交通部长拿督斯里廖中莱表示，虽然东海岸铁路计划重新启动，但除了绕过文冬，连作为纾解北部货运量的鹅唛和双文丹站也被取消，使到东铁变得没有意义。"
"31",31,"吉打里区州议员雪芙拉表示，东海岸铁路计划位于云顶和文冬的工程项目至今已完成了13至14%，一些森林地区的树木已砍伐，四周一片光秃秃。山坡和土地也已挖掘以进行建造铁路和隧道，如果这些工地停工任由搁置和废弃，恐...."
"32",32,"消息说，随着东海岸衔接铁道计划（ECRL），以及由苏里亚策略能源资源（SSER）的两项输送管计划，即多元石油产品输送管（MPP）计划和沙巴天然气输送管计划（TSGP）暂时停工后，精英顾问团主席敦达因将会先前往中国。"
"33",33,"马来西亚铁路私人有限公司（MRLSB）首席执行员拿督斯里达维斯说，该公司将与中国交通建设股份有限公司（CCCC）组建一家双方各持50%股权的合资公司，若有亏损将由MRLSB与CCCC各自承担一半亏损。"
"34",34,"负责与中方谈判的精英顾问团主席敦达因，将在近日飞往北京，代表大马签署这份新协议。"
"35",35,"文冬国会议员黄德说，从环保角度来看，东铁更改路线绕过文冬，以保留绿化和勿破坏大自然美景是好事，文冬人民无需过于失望。"
"36",36,"“我也很吃惊（首相）敦马哈迪声称，隆新高铁对于大马不会分文回酬的说法。”"
"37",37,NA
"38",38,"负责跟中国谈判的马来西亚东铁计划谈判队消息告诉星洲日报，首相特使敦达因已抵达中国，并将与中方就谈判的细节进行最终的商议。"
"39",39,"他批评马哈迪的作风非常不得体，之后还在中国之行自行宣布取消与中资合作的东海岸铁路与石油输送管计划。"
"40",40,NA
"41",41,"马来西亚与中国达成协议，重启东海岸铁路（ECRL）的建设计划，新的东铁建设成本将减至440亿令吉，首相特使敦达因将于今日于马来西亚驻北京大使馆召开新闻发布会，两国已在今日上午11时正式签署协议，而首相敦马哈迪也将..."
"42",42,"报道引述消息说，大马和新加坡是在“睦邻精神”下，达成这项展延协议。大马表示隆新高铁工程将给为政府带来巨大的财务压力，而新加坡政府了解大马的处境。"
"43",43,"森美兰州政府和朝野议员对重启的东海岸铁路计划新路线途径森州的日叻务及瓜拉格拉旺一事，都乐见其成，并认为这将有助于提升郊外的经济发展，甚至提高乡民收入。"
"44",44,NA
"45",45,"首相敦马哈迪有信心，凭着人民对希盟新政府强而有力的支持，就算需收拾前首相拿督斯里纳吉执政时期留下的1兆3000万令吉国债烂摊子，新政府依然有能力解决。"
"46",46,"首相敦马哈迪宣布取消隆新高铁计划，对各有关方面带来不同层面的影响，新加坡须重新调整裕廊东地区发展计划；大马因违约须赔偿至少5亿令吉给狮城，也让两国失去共同发展机会。竞投高铁项目的中国及日本遭到波及。"
"47",47,"财政部长林冠英解释，政府必须派遣一名资深的官员与中国重新谈判东海岸铁路计划（ECRL），需要全职去处理，因此选敦达因是最佳人选，若选他去负责谈判，那他就没有时间去处理其他部门的事务。"
"48",48,"（雅姆10日讯）东海岸铁路建筑工程开展，雅姆建设了约100单位的员工宿舍，陆续有来自中国的员工迁入。 在蓝顶白墙的宿舍外，有中国交建标志的旗帜飘扬。 记者进入宿舍了解情况，不愿具名中国东铁员工透露，他们从新年....."
"49",49,"马股在内忧外患夹攻下溃跌，全日猛挫56.56点或3.19%，至1719.28点的5个半月新低。"
"50",50,"自1998年开始担任大马奥理会会长职的东姑英南，此前向新加坡奥理会献议，两国合作申办奥运会的可能性。"
